,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2023-08-12,16:30,Eredivisie,Matchweek 1,Sat,Home,W,2.0,0.0,Utrecht,2.6,0.7,67.0,32486.0,Luuk de Jong,4-3-3,Serdar Gözübüyük,Match Report,,23.0,8.0,19.9,1.0,0,0,2024,PSV Eindhoven
3,2023-08-19,18:45,Eredivisie,Matchweek 2,Sat,Away,W,3.0,1.0,Vitesse,2.3,2.1,65.0,14876.0,Luuk de Jong,4-2-3-1,Bas Nijhuis,Match Report,,18.0,6.0,18.6,0.0,1,1,2024,PSV Eindhoven
6,2023-09-02,20:00,Eredivisie,Matchweek 4,Sat,Away,W,4.0,0.0,RKC Waalwijk,2.1,0.9,60.0,6609.0,Luuk de Jong,4-2-3-1,Dennis Higler,Match Report,,22.0,9.0,17.5,0.0,0,0,2024,PSV Eindhoven
7,2023-09-16,20:00,Eredivisie,Matchweek 5,Sat,Home,W,4.0,0.0,NEC Nijmegen,5.6,0.2,60.0,34200.0,Luuk de Jong,4-2-3-1,Joey Kooij,Match Report,,26.0,9.0,15.9,0.0,2,2,2024,PSV Eindhoven
9,2023-09-23,20:00,Eredivisie,Matchweek 6,Sat,Away,W,4.0,0.0,Almere City,3.6,0.4,60.0,4332.0,Luuk de Jong,4-3-3,Alex Bos,Match Report,,20.0,9.0,16.3,0.0,0,0,2024,PSV Eindhoven
10,2023-09-27,18:45,Eredivisie,Matchweek 3,Wed,Home,W,3.0,0.0,Go Ahead Eag,3.3,0.8,65.0,33400.0,Luuk de Jong,4-1-4-1,Marc Nagtegaal,Match Report,,23.0,11.0,15.4,0.0,0,0,2024,PSV Eindhoven
11,2023-09-30,18:45,Eredivisie,Matchweek 7,Sat,Home,W,3.0,1.0,Volendam,4.2,0.8,75.0,34000.0,Luuk de Jong,4-1-4-1,Allard Lindhout,Match Report,,38.0,16.0,16.7,0.0,0,0,2024,PSV Eindhoven
13,2023-10-08,16:45,Eredivisie,Matchweek 8,Sun,Away,W,4.0,0.0,Sparta R'dam,3.5,0.4,68.0,10595.0,Luuk de Jong,4-3-3,Dennis Higler,Match Report,,29.0,10.0,18.3,1.0,0,1,2024,PSV Eindhoven
14,2023-10-21,18:45,Eredivisie,Matchweek 9,Sat,Home,W,3.0,1.0,Fortuna Sittard,1.1,0.8,73.0,34200.0,Luuk de Jong,4-2-3-1,Rob Dieperink,Match Report,,18.0,6.0,20.0,0.0,0,0,2024,PSV Eindhoven
16,2023-10-29,14:30,Eredivisie,Matchweek 10,Sun,Home,W,5.0,2.0,Ajax,4.4,2.5,54.0,34700.0,Luuk de Jong,4-2-3-1,Danny Makkelie,Match Report,,26.0,9.0,15.9,0.0,0,0,2024,PSV Eindhoven
17,2023-11-04,16:30,Eredivisie,Matchweek 11,Sat,Away,W,6.0,0.0,Heracles Almelo,5.0,0.8,63.0,11867.0,Luuk de Jong,4-2-3-1,Joey Kooij,Match Report,,33.0,10.0,18.1,0.0,1,1,2024,PSV Eindhoven
